donut number = 2, In-ptr =  1, serial-counter =  1
donut number = 2, In-ptr =  0, serial-counter =  1040
donut number = 1, In-ptr =  21, serial-counter =  1101
donut number = 0, In-ptr =  8, serial-counter =  1088
donut number = 2, In-ptr =  1, serial-counter =  1041
donut number = 3, In-ptr =  39, serial-counter =  1079
donut number = 0, In-ptr =  9, serial-counter =  1089
donut number = 3, In-ptr =  0, serial-counter =  1080
donut number = 2, In-ptr =  2, serial-counter =  1042
donut number = 0, In-ptr =  10, serial-counter =  1090
donut number = 2, In-ptr =  3, serial-counter =  1043
donut number = 2, In-ptr =  4, serial-counter =  1044
donut number = 1, In-ptr =  22, serial-counter =  1102
donut number = 3, In-ptr =  1, serial-counter =  1081
donut number = 3, In-ptr =  2, serial-counter =  1082
donut number = 3, In-ptr =  3, serial-counter =  1083
donut number = 1, In-ptr =  23, serial-counter =  1103
donut number = 3, In-ptr =  4, serial-counter =  1084
donut number = 2, In-ptr =  5, serial-counter =  1045
donut number = 1, In-ptr =  24, serial-counter =  1104
donut number = 2, In-ptr =  6, serial-counter =  1046
donut number = 1, In-ptr =  25, serial-counter =  1105
donut number = 3, In-ptr =  5, serial-counter =  1085
donut number = 0, In-ptr =  11, serial-counter =  1091
donut number = 2, In-ptr =  7, serial-counter =  1047
donut number = 0, In-ptr =  12, serial-counter =  1092
donut number = 1, In-ptr =  26, serial-counter =  1106
donut number = 0, In-ptr =  13, serial-counter =  1093
donut number = 2, In-ptr =  8, serial-counter =  1048
donut number = 3, In-ptr =  6, serial-counter =  1086
donut number = 0, In-ptr =  14, serial-counter =  1094
donut number = 1, In-ptr =  27, serial-counter =  1107
donut number = 1, In-ptr =  28, serial-counter =  1108
donut number = 3, In-ptr =  7, serial-counter =  1087
donut number = 3, In-ptr =  8, serial-counter =  1088
donut number = 2, In-ptr =  9, serial-counter =  1049
donut number = 1, In-ptr =  29, serial-counter =  1109
donut number = 3, In-ptr =  9, serial-counter =  1089
donut number = 3, In-ptr =  10, serial-counter =  1090
donut number = 2, In-ptr =  10, serial-counter =  1050
donut number = 3, In-ptr =  11, serial-counter =  1091
donut number = 0, In-ptr =  15, serial-counter =  1095
donut number = 0, In-ptr =  16, serial-counter =  1096
donut number = 1, In-ptr =  30, serial-counter =  1110
donut number = 1, In-ptr =  31, serial-counter =  1111
donut number = 1, In-ptr =  32, serial-counter =  1112
donut number = 2, In-ptr =  11, serial-counter =  1051
donut number = 3, In-ptr =  12, serial-counter =  1092
donut number = 0, In-ptr =  17, serial-counter =  1097
donut number = 0, In-ptr =  18, serial-counter =  1098
donut number = 0, In-ptr =  19, serial-counter =  1099
donut number = 0, In-ptr =  20, serial-counter =  1100
donut number = 1, In-ptr =  33, serial-counter =  1113
donut number = 0, In-ptr =  21, serial-counter =  1101
donut number = 1, In-ptr =  34, serial-counter =  1114
donut number = 0, In-ptr =  22, serial-counter =  1102
donut number = 0, In-ptr =  23, serial-counter =  1103
donut number = 0, In-ptr =  24, serial-counter =  1104
donut number = 3, In-ptr =  13, serial-counter =  1093
donut number = 1, In-ptr =  35, serial-counter =  1115
donut number = 3, In-ptr =  14, serial-counter =  1094
donut number = 0, In-ptr =  25, serial-counter =  1105
donut number = 1, In-ptr =  36, serial-counter =  1116
donut number = 0, In-ptr =  26, serial-counter =  1106
donut number = 1, In-ptr =  37, serial-counter =  1117
donut number = 2, In-ptr =  12, serial-counter =  1052
donut number = 2, In-ptr =  13, serial-counter =  1053
donut number = 1, In-ptr =  38, serial-counter =  1118
donut number = 2, In-ptr =  14, serial-counter =  1054
donut number = 3, In-ptr =  15, serial-counter =  1095
donut number = 1, In-ptr =  39, serial-counter =  1119
donut number = 0, In-ptr =  27, serial-counter =  1107
donut number = 0, In-ptr =  28, serial-counter =  1108
donut number = 1, In-ptr =  0, serial-counter =  1120
donut number = 0, In-ptr =  29, serial-counter =  1109
donut number = 1, In-ptr =  1, serial-counter =  1121
donut number = 0, In-ptr =  30, serial-counter =  1110
donut number = 2, In-ptr =  15, serial-counter =  1055
donut number = 3, In-ptr =  16, serial-counter =  1096
donut number = 3, In-ptr =  17, serial-counter =  1097
donut number = 3, In-ptr =  18, serial-counter =  1098
donut number = 3, In-ptr =  19, serial-counter =  1099
donut number = 1, In-ptr =  2, serial-counter =  1122
donut number = 1, In-ptr =  3, serial-counter =  1123
donut number = 1, In-ptr =  4, serial-counter =  1124
donut number = 3, In-ptr =  20, serial-counter =  1100
donut number = 2, In-ptr =  16, serial-counter =  1056
donut number = 1, In-ptr =  5, serial-counter =  1125
donut number = 3, In-ptr =  21, serial-counter =  1101
donut number = 2, In-ptr =  17, serial-counter =  1057
donut number = 2, In-ptr =  18, serial-counter =  1058
donut number = 3, In-ptr =  22, serial-counter =  1102
donut number = 1, In-ptr =  6, serial-counter =  1126
donut number = 2, In-ptr =  19, serial-counter =  1059
donut number = 3, In-ptr =  23, serial-counter =  1103
donut number = 2, In-ptr =  20, serial-counter =  1060
donut number = 3, In-ptr =  24, serial-counter =  1104
donut number = 1, In-ptr =  7, serial-counter =  1127
donut number = 2, In-ptr =  21, serial-counter =  1061
donut number = 2, In-ptr =  22, serial-counter =  1062
donut number = 1, In-ptr =  8, serial-counter =  1128
donut number = 1, In-ptr =  9, serial-counter =  1129
donut number = 3, In-ptr =  25, serial-counter =  1105
donut number = 2, In-ptr =  23, serial-counter =  1063
donut number = 2, In-ptr =  24, serial-counter =  1064
donut number = 1, In-ptr =  10, serial-counter =  1130
donut number = 2, In-ptr =  25, serial-counter =  1065
donut number = 0, In-ptr =  31, serial-counter =  1111
donut number = 2, In-ptr =  26, serial-counter =  1066
donut number = 2, In-ptr =  27, serial-counter =  1067
donut number = 2, In-ptr =  28, serial-counter =  1068
donut number = 0, In-ptr =  32, serial-counter =  1112
donut number = 1, In-ptr =  11, serial-counter =  1131
donut number = 3, In-ptr =  26, serial-counter =  1106
donut number = 1, In-ptr =  12, serial-counter =  1132
donut number = 2, In-ptr =  29, serial-counter =  1069
donut number = 0, In-ptr =  33, serial-counter =  1113
donut numberr = 2, In-ptr =  23, serial-counter =  1143
donut number = 3, In-ptr =  37, serial-counter =  1117
donut number = 2, In-ptr =  24, serial-counter =  1144
donut number = 2, In-ptr =  25, serial-counter =  1145
donut number = 0, In-ptr =  35, serial-counter =  1075
donut number = 3, In-ptr =  38, serial-counter =  1118
donut number = 1, In-ptr =  9, serial-counter =  1089
donut number = 2, In-ptr =  26, serial-counter =  1146
donut number = 3, In-ptr =  39, serial-counter =  1119
donut number = 0, In-ptr =  36, serial-counter =  1076
donut number = 1, In-ptr =  10, serial-counter =  1090
donut number = 1, In-ptr =  11, serial-counter =  1091
donut number = 1, In-ptr =  12, serial-counter =  1092
donut number = 3, In-ptr =  0, serial-counter =  1120
donut number = 2, In-ptr =  27, serial-counter =  1147
donut number = 0, In-ptr =  37, serial-counter =  1077
donut number = 3, In-ptr =  1, serial-counter =  1121
donut number = 3, In-ptr =  2, serial-counter =  1122
donut number = 2, In-ptr =  28, serial-counter =  1148
donut number = 3, In-ptr =  3, serial-counter =  1123
donut number = 3, In-ptr =  4, serial-counter =  1124
donut number = 2, In-ptr =  29, serial-counter =  1149
donut number = 1, In-ptr =  13, serial-counter =  1093
donut number = 3, In-ptr =  5, serial-counter =  1125
donut number = 3, In-ptr =  6, serial-counter =  1126
donut number = 3, In-ptr =  7, serial-counter =  1127
donut number = 1, In-ptr =  14, serial-counter =  1094
donut number = 3, In-ptr =  8, serial-counter =  1128
donut number = 3, In-ptr =  9, serial-counter =  1129
donut number = 1, In-ptr =  15, serial-counter =  1095
donut number = 1, In-ptr =  16, serial-counter =  1096
donut number = 0, In-ptr =  38, serial-counter =  1078
donut number = 0, In-ptr =  39, serial-counter =  1079
donut number = 3, In-ptr =  10, serial-counter =  1130
donut number = 2, In-ptr =  30, serial-counter =  1150
donut number = 3, In-ptr =  11, serial-counter =  1131
donut number = 1, In-ptr =  17, serial-counter =  1097
donut number = 1, In-ptr =  18, serial-counter =  1098
donut number = 1, In-ptr =  19, serial-counter =  1099
donut number = 1, In-ptr =  20, serial-counter =  1100
donut number = 2, In-ptr =  31, serial-counter =  1151
donut number = 0, In-ptr =  0, serial-counter =  1080
donut number = 0, In-ptr =  1, serial-counter =  1081
donut number = 1, In-ptr =  21, serial-counter =  1101
donut number = 0, In-ptr =  2, serial-counter =  1082
donut number = 2, In-ptr =  32, serial-counter =  1152
donut number = 3, In-ptr =  12, serial-counter =  1132
donut number = 2, In-ptr =  33, serial-counter =  1153
donut number = 3, In-ptr =  13, serial-counter =  1133
donut number = 1, In-ptr =  22, serial-counter =  1102
donut number = 3, In-ptr =  14, serial-counter =  1134
donut number = 3, In-ptr =  15, serial-counter =  1135
donut number = 1, In-ptr =  23, serial-counter =  1103
donut number = 2, In-ptr =  34, serial-counter =  1154
donut number = 1, In-ptr =  24, serial-counter =  1104
donut number = 2, In-ptr =  35, serial-counter =  1155
donut number = 0, In-ptr =  3, serial-counter =  1083
donut number = 2, In-ptr =  36, serial-counter =  1156
donut number = 2, In-ptr =  37, serial-counter =  1157
donut number = 1, In-ptr =  25, serial-counter =  1105
donut number = 3, In-ptr =  16, serial-counter =  1136
donut number = 1, In-ptr =  26, serial-counter =  1106
donut number = 0, In-ptr =  4, serial-counter =  1084
donut number = 0, In-ptr =  5, serial-counter =  1085
donut number = 3, In-ptr =  17, serial-counter =  1137
donut number = 3, In-ptr =  18, serial-counter =  1138
donut number = 1, In-ptr =  27, serial-counter =  1107
donut number = 3, In-ptr =  19, serial-counter =  1139
donut number = 3, In-ptr =  20, serial-counter =  1140
donut number = 0, In-ptr =  6, serial-counter =  1086
donut number = 3, In-ptr =  21, serial-counter =  1141
donut number = 3, In-ptr =  22, serial-counter =  1142
donut number = 3, In-ptr =  23, serial-counter =  1143
donut number = 3, In-ptr =  24, serial-counter =  1144
donut number = 3, In-ptr =  25, serial-counter =  1145
mber = 1, In-ptr =  27, serial-counter =  1147
donut number = 2, In-ptr =  7, serial-counter =  1087
donut number = 3, In-ptr =  8, serial-counter =  1128
donut number = 3, In-ptr =  9, serial-counter =  1129
donut number = 2, In-ptr =  8, serial-counter =  1088
donut number = 3, In-ptr =  10, serial-counter =  1130
donut number = 2, In-ptr =  9, serial-counter =  1089
donut number = 2, In-ptr =  10, serial-counter =  1090
donut number = 2, In-ptr =  11, serial-counter =  1091
donut number = 2, In-ptr =  12, serial-counter =  1092
donut number = 2, In-ptr =  13, serial-counter =  1093
donut number = 2, In-ptr =  14, serial-counter =  1094
donut number = 3, In-ptr =  11, serial-counter =  1131
donut number = 2, In-ptr =  15, serial-counter =  1095
donut number = 2, In-ptr =  16, serial-counter =  1096
donut number = 3, In-ptr =  12, serial-counter =  1132
donut number = 0, In-ptr =  17, serial-counter =  1137
donut number = 3, In-ptr =  13, serial-counter =  1133
donut number = 1, In-ptr =  28, serial-counter =  1148
donut number = 3, In-ptr =  14, serial-counter =  1134
donut number = 3, In-ptr =  15, serial-counter =  1135
donut number = 0, In-ptr =  18, serial-counter =  1138
donut number = 0, In-ptr =  19, serial-counter =  1139
donut number = 0, In-ptr =  20, serial-counter =  1140
donut number = 0, In-ptr =  21, serial-counter =  1141
donut number = 1, In-ptr =  29, serial-counter =  1149
donut number = 1, In-ptr =  30, serial-counter =  1150
donut number = 2, In-ptr =  17, serial-counter =  1097
donut number = 0, In-ptr =  22, serial-counter =  1142
donut number = 1, In-ptr =  31, serial-counter =  1151
donut number = 0, In-ptr =  23, serial-counter =  1143
donut number = 1, In-ptr =  32, serial-counter =  1152
donut number = 1, In-ptr =  33, serial-counter =  1153
donut number = 1, In-ptr =  34, serial-counter =  1154
donut number = 2, In-ptr =  18, serial-counter =  1098
donut number = 0, In-ptr =  24, serial-counter =  1144
donut number = 1, In-ptr =  35, serial-counter =  1155
donut number = 3, In-ptr =  16, serial-counter =  1136
donut number = 1, In-ptr =  36, serial-counter =  1156
donut number = 2, In-ptr =  19, serial-counter =  1099
donut number = 3, In-ptr =  17, serial-counter =  1137
donut number = 3, In-ptr =  18, serial-counter =  1138
donut number = 3, In-ptr =  19, serial-counter =  1139
donut number = 2, In-ptr =  20, serial-counter =  1100
donut number = 1, In-ptr =  37, serial-counter =  1157
donut number = 3, In-ptr =  20, serial-counter =  1140
donut number = 2, In-ptr =  21, serial-counter =  1101
donut number = 2, In-ptr =  22, serial-counter =  1102
donut number = 0, In-ptr =  25, serial-counter =  1145
donut number = 2, In-ptr =  23, serial-counter =  1103
donut number = 0, In-ptr =  26, serial-counter =  1146
donut number = 0, In-ptr =  27, serial-counter =  1147
donut number = 2, In-ptr =  24, serial-counter =  1104
donut number = 3, In-ptr =  21, serial-counter =  1141
donut number = 2, In-ptr =  25, serial-counter =  1105
donut number = 2, In-ptr =  26, serial-counter =  1106
donut number = 2, In-ptr =  27, serial-counter =  1107
donut number = 1, In-ptr =  38, serial-counter =  1158
donut number = 2, In-ptr =  28, serial-counter =  1108
donut number = 0, In-ptr =  28, serial-counter =  1148
donut number = 3, In-ptr =  22, serial-counter =  1142
donut number = 1, In-ptr =  39, serial-counter =  1159
donut number = 3, In-ptr =  23, serial-counter =  1143
donut number = 0, In-ptr =  29, serial-counter =  1149
donut number = 2, In-ptr =  29, serial-counter =  1109
donut number = 2, In-ptr =  30, serial-counter =  1110
donut number = 2, In-ptr =  31, serial-counter =  1111
donut number = 2, In-ptr =  32, serial-counter =  1112
donut number = 2, In-ptr =  33, serial-counter =  1113
donut number = 0, In-ptr =  30, serial-counter =  1150
donut number = 2, In-ptr =  34, serial-counter =  1114
donut number = 2, In-ptr =  35, serial-counter =  1115
donut number = 2, In-ptr =  36, serial-counter =  1116
donut number = 3, In-ptr =  24, serial-counter =  1144
donut number = 1, In-ptr =  0, serial-counter =  1160
donut number = 0, In-ptr =  31, serial-counter =  1151
donut number = 2, In-ptr =  37, serial-counter =  1117
donut number = 3, In-ptr =  25, serial-counter =  1145
donut number = 1, In-ptr =  1, serial-counter =  1161
donut number = 2, In-ptr =  38, serial-counter =  1118
donut number = 0, In-ptr =  32, serial-counter =  1152
donut number = 2, In-ptr =  39, serial-counter =  1119
donut number = 2, In-ptr =  0, serial-counter =  1120
donut number = 0, In-ptr =  33, serial-counter =  1153
donut number = 2, In-ptr =  1, serial-counter =  1121
donut number = 2, In-ptr =  2, serial-counter =  1122
donut number = 2, In-ptr =  3, serial-counter =  1123
donut number = 1, In-ptr =  2, serial-counter =  1162
donut number = 0, In-ptr =  34, serial-counter =  1154
donut number = 2, In-ptr =  4, serial-counter =  1124
donut number = 0, In-ptr =  35, serial-counter =  1155
donut number = 3, In-ptr =  26, serial-counter =  1146
donut number = 3, In-ptr =  27, serial-counter =  1147
donut number = 1, In-ptr =  3, serial-counter =  1163
donut number = 3, In-ptr =  28, serial-counter =  1148
donut number = 2, In-ptr =  5, serial-counter =  1125
donut number = 1, In-ptr =  4, serial-counter =  1164
donut number = 2, In-ptr =  6, serial-counter =  1126
donut number = 2, In-ptr =  7, serial-counter =  1127
donut number = 2, In-ptr =  8, serial-counter =  1128
donut number = 2, In-ptr =  9, serial-counter =  1129
donut number = 2, In-ptr =  10, serial-counter =  1130
donut number = 0, In-ptr =  36, serial-counter =  1156
donut number = 2, In-ptr =  11, serial-counter =  1131
donut number = 0, In-ptr =  37, serial-counter =  1157
donut number = 3, In-ptr =  29, serial-counter =  1149
donut number = 2, In-ptr =  12, serial-counter =  1132
donut number = 0, In-ptr =  38, serial-counter =  1158
donut number = 2, In-ptr =  13, serial-counter =  1133
In signal handler with signal # 15
ounter =  1115
donut number = 0, In-ptr =  36, serial-counter =  1116
donut number = 3, In-ptr =  16, serial-counter =  1176
donut number = 1, In-ptr =  13, serial-counter =  1133
donut number = 3, In-ptr =  17, serial-counter =  1177
donut number = 0, In-ptr =  37, serial-counter =  1117
donut number = 1, In-ptr =  14, serial-counter =  1134
donut number = 0, In-ptr =  38, serial-counter =  1118
donut number = 3, In-ptr =  18, serial-counter =  1178
donut number = 3, In-ptr =  19, serial-counter =  1179
donut number = 0, In-ptr =  39, serial-counter =  1119
donut number = 1, In-ptr =  15, serial-counter =  1135
donut number = 0, In-ptr =  0, serial-counter =  1120
donut number = 3, In-ptr =  20, serial-counter =  1180
donut number = 3, In-ptr =  21, serial-counter =  1181
donut number = 0, In-ptr =  1, serial-counter =  1121
donut number = 1, In-ptr =  16, serial-counter =  1136
donut number = 1, In-ptr =  17, serial-counter =  1137
donut number = 1, In-ptr =  18, serial-counter =  1138
donut number = 2, In-ptr =  24, serial-counter =  1184
donut number = 1, In-ptr =  19, serial-counter =  1139
donut number = 0, In-ptr =  2, serial-counter =  1122
donut number = 3, In-ptr =  22, serial-counter =  1182
donut number = 1, In-ptr =  20, serial-counter =  1140
donut number = 3, In-ptr =  23, serial-counter =  1183
donut number = 1, In-ptr =  21, serial-counter =  1141
donut number = 3, In-ptr =  24, serial-counter =  1184
donut number = 1, In-ptr =  22, serial-counter =  1142
donut number = 0, In-ptr =  3, serial-counter =  1123
donut number = 3, In-ptr =  25, serial-counter =  1185
donut number = 3, In-ptr =  26, serial-counter =  1186
donut number = 0, In-ptr =  4, serial-counter =  1124
donut number = 2, In-ptr =  25, serial-counter =  1185
donut number = 0, In-ptr =  5, serial-counter =  1125
donut number = 3, In-ptr =  27, serial-counter =  1187
donut number = 2, In-ptr =  26, serial-counter =  1186
donut number = 3, In-ptr =  28, serial-counter =  1188
donut number = 2, In-ptr =  27, serial-counter =  1187
donut number = 1, In-ptr =  23, serial-counter =  1143
donut number = 3, In-ptr =  29, serial-counter =  1189
donut number = 0, In-ptr =  6, serial-counter =  1126
donut number = 1, In-ptr =  24, serial-counter =  1144
donut number = 0, In-ptr =  7, serial-counter =  1127
donut number = 1, In-ptr =  25, serial-counter =  1145
donut number = 0, In-ptr =  8, serial-counter =  1128
donut number = 1, In-ptr =  26, serial-counter =  1146
donut number = 0, In-ptr =  9, serial-counter =  1129
donut number = 2, In-ptr =  28, serial-counter =  1188
donut number = 1, In-ptr =  27, serial-counter =  1147
donut number = 0, In-ptr =  10, serial-counter =  1130
donut number = 2, In-ptr =  29, serial-counter =  1189
donut number = 3, In-ptr =  30, serial-counter =  1190
donut number = 1, In-ptr =  28, serial-counter =  1148
donut number = 1, In-ptr =  29, serial-counter =  1149
donut number = 0, In-ptr =  11, serial-counter =  1131
donut number = 0, In-ptr =  12, serial-counter =  1132
donut number = 3, In-ptr =  31, serial-counter =  1191
donut number = 0, In-ptr =  13, serial-counter =  1133
donut number = 3, In-ptr =  32, serial-counter =  1192
donut number = 1, In-ptr =  30, serial-counter =  1150
donut number = 0, In-ptr =  14, serial-counter =  1134
donut number = 0, In-ptr =  15, serial-counter =  1135
donut number = 1, In-ptr =  31, serial-counter =  1151
donut number = 0, In-ptr =  16, serial-counter =  1136
donut number = 1, In-ptr =  32, serial-counter =  1152
donut number = 3, In-ptr =  33, serial-counter =  1193
donut number = 1, In-ptr =  33, serial-counter =  1153
donut number = 1, In-ptr =  34, serial-counter =  1154
donut number = 0, In-ptr =  17, serial-counter =  1137
donut number = 1, In-ptr =  35, serial-counter =  1155
donut number = 0, In-ptr =  18, serial-counter =  1138
donut number = 3, In-ptr =  34, serial-counter =  1194
donut number = 3, In-ptr =  35, serial-counter =  1195
donut number = 2, In-ptr =  30, serial-counter =  1190
donut number = 1, In-ptr =  36, serial-counter =  1156
donut number = 1, In-ptr =  37, serial-counter =  1157
donut number = 2, In-ptr =  31, serial-counter =  1191
donut number = 2, In-ptr =  32, serial-counter =  1192
donut number = 1, In-ptr =  38, serial-counter =  1158
donut number = 2, In-ptr =  33, serial-counter =  1193
donut number = 3, In-ptr =  36, serial-counter =  1196
donut number = 0, In-ptr =  19, serial-counter =  1139
donut number = 2, In-ptr =  34, serial-counter =  1194
donut number = 1, In-ptr =  39, serial-counter =  1159
donut number = 0, In-ptr =  20, serial-counter =  1140
donut number = 2, In-ptr =  35, serial-counter =  1195
donut number = 1, In-ptr =  0, serial-counter =  1160
donut number = 2, In-ptr =  36, serial-counter =  1196
donut number = 1, In-ptr =  1, serial-counter =  1161
donut number = 1, In-ptr =  2, serial-counter =  1162
donut number = 3, In-ptr =  37, serial-counter =  1197
donut number = 2, In-ptr =  37, serial-counter =  1197
donut number = 0, In-ptr =  21, serial-counter =  1141
donut number = 1, In-ptr =  3, serial-counter =  1163
donut number = 1, In-ptr =  4, serial-counter =  1164
donut number = 2, In-ptr =  38, serial-counter =  1198
donut number = 0, In-ptr =  22, serial-counter =  1142
donut number = 1, In-ptr =  5, serial-counter =  1165
donut number = 0, In-ptr =  23, serial-counter =  1143
donut number = 3, In-ptr =  38, serial-counter =  1198
donut number = 1, In-ptr =  6, serial-counter =  1166
donut number = 1, In-ptr =  7, serial-counter =  1167
donut number = 0, In-ptr =  24, serial-counter =  1144
donut number = 0, In-ptr =  25, serial-counter =  1145
donut number = 3, In-ptr =  39, serial-counter =  1199
donut number = 0, In-ptr =  26, serial-counter =  1146
donut number = 2, In-ptr =  39, serial-counter =  1199
donut number = 1, In-ptr =  8, serial-counter =  1168
donut number = 1, In-ptr =  9, serial-counter =  1169
donut number = 0, In-ptr =  27, serial-counter =  1147
donut number = 1, In-ptr =  10, serial-counter =  1170
donut number = 1, In-ptr =  11, serial-counter =  1171
donut number = 0, In-ptr =  28, serial-counter =  1148
donut number = 1, In-ptr =  12, serial-counter =  1172
donut number = 1, In-ptr =  13, serial-counter =  1173
donut number = 0, In-ptr =  29, serial-counter =  1149
donut number = 1, In-ptr =  14, serial-counter =  1174
donut number = 3, In-ptr =  0, serial-counter =  1200
donut number = 2, In-ptr =  0, serial-counter =  1200
donut number = 0, In-ptr =  30, serial-counter =  1150
donut number = 3, In-ptr =  1, serial-counter =  1201
donut number = 0, In-ptr =  31, serial-counter =  1151
donut number = 0, In-ptr =  32, serial-counter =  1152
donut number = 2, In-ptr =  1, serial-counter =  1201
donut number = 0, In-ptr =  33, serial-counter =  1153
donut number = 2, In-ptr =  2, serial-counter =  1202
donut number = 1, In-ptr =  15, serial-counter =  1175
donut number = 3, In-ptr =  2, serial-counter =  1202
donut number = 0, In-ptr =  34, serial-counter =  1154
donut number = 1, In-ptr =  16, serial-counter =  1176
donut number = 1, In-ptr =  17, serial-counter =  1177
donut number = 0, In-ptr =  35, serial-counter =  1155
donut number = 3, In-ptr =  3, serial-counter =  1203
donut number = 2, In-ptr =  3, serial-counter =  1203
donut number = 3, In-ptr =  4, serial-counter =  1204
donut number = 3, In-ptr =  5, serial-counter =  1205
donut number = 0, In-ptr =  36, serial-counter =  1156
donut number = 1, In-ptr =  18, serial-counter =  1178
donut number = 0, In-ptr =  37, serial-counter =  1157
donut number = 1, In-ptr =  19, serial-counter =  1179
donut number = 2, In-ptr =  4, serial-counter =  1204
donut number = 1, In-ptr =  20, serial-counter =  1180
donut number = 3, In-ptr =  6, serial-counter =  1206
donut number = 2, In-ptr =  5, serial-counter =  1205
donut number = 3, In-ptr =  7, serial-counter =  1207
donut number = 2, In-ptr =  6, serial-counter =  1206
donut number = 0, In-ptr =  38, serial-counter =  1158
donut number = 0, In-ptr =  39, serial-counter =  1159
donut number = 1, In-ptr =  21, serial-counter =  1181
donut number = 2, In-ptr =  7, serial-counter =  1207
donut number = 3, In-ptr =  8, serial-counter =  1208
donut number = 1, In-ptr =  22, serial-counter =  1182
donut number = 0, In-ptr =  0, serial-counter =  1160
donut number = 0, In-ptr =  1, serial-counter =  1161
donut number = 2, In-ptr =  8, serial-counter =  1208
donut number = 3, In-ptr =  9, serial-counter =  1209
donut number = 0, In-ptr =  2, serial-counter =  1162
donut number = 3, In-ptr =  10, serial-counter =  1210
donut number = 3, In-ptr =  11, serial-counter =  1211
donut number = 1, In-ptr =  23, serial-counter =  1183
donut number = 3, In-ptr =  12, serial-counter =  1212
donut number = 0, In-ptr =  3, serial-counter =  1163
donut number = 3, In-ptr =  13, serial-counter =  1213
donut number = 0, In-ptr =  4, serial-counter =  1164
donut number = 2, In-ptr =  9, serial-counter =  1209
donut number = 0, In-ptr =  5, serial-counter =  1165
donut number = 3, In-ptr =  14, serial-counter =  1214
donut number = 0, In-ptr =  6, serial-counter =  1166
donut number = 2, In-ptr =  10, serial-counter =  1210
donut number = 1, In-ptr =  24, serial-counter =  1184
donut number = 2, In-ptr =  11, serial-counter =  1211
donut number = 1, In-ptr =  25, serial-counter =  1185
donut number = 1, In-ptr =  26, serial-counter =  1186
donut number = 0, In-ptr =  7, serial-counter =  1167
donut number = 1, In-ptr =  27, serial-counter =  1187
donut number = 2, In-ptr =  12, serial-counter =  1212
donut number = 1, In-ptr =  28, serial-counter =  1188
donut number = 3, In-ptr =  15, serial-counter =  1215
donut number = 3, In-ptr =  16, serial-counter =  1216
donut number = 1, In-ptr =  29, serial-counter =  1189
donut number = 0, In-ptr =  8, serial-counter =  1168
donut number = 0, In-ptr =  9, serial-counter =  1169
donut number = 0, In-ptr =  10, serial-counter =  1170
donut number = 1, In-ptr =  30, serial-counter =  1190
donut number = 1, In-ptr =  31, serial-counter =  1191
donut number = 2, In-ptr =  13, serial-counter =  1213
donut number = 0, In-ptr =  11, serial-counter =  1171
donut number = 2, In-ptr =  14, serial-counter =  1214
donut number = 3, In-ptr =  17, serial-counter =  1217
donut number = 0, In-ptr =  12, serial-counter =  1172
donut number = 2, In-pIn-ptr =  32, serial-counter =  1192
donut number = 0, In-ptr =  29, serial-counter =  1229
donut number = 1, In-ptr =  6, serial-counter =  1206
donut number = 1, In-ptr =  7, serial-counter =  1207
donut number = 0, In-ptr =  30, serial-counter =  1230
donut number = 1, In-ptr =  8, serial-counter =  1208
donut number = 3, In-ptr =  33, serial-counter =  1193
donut number = 3, In-ptr =  34, serial-counter =  1194
donut number = 3, In-ptr =  35, serial-counter =  1195
donut number = 0, In-ptr =  31, serial-counter =  1231
donut number = 0, In-ptr =  32, serial-counter =  1232
donut number = 0, In-ptr =  33, serial-counter =  1233
donut number = 1, In-ptr =  9, serial-counter =  1209
donut number = 0, In-ptr =  34, serial-counter =  1234
donut number = 1, In-ptr =  10, serial-counter =  1210
donut number = 0, In-ptr =  35, serial-counter =  1235
donut number = 0, In-ptr =  36, serial-counter =  1236
donut number = 3, In-ptr =  36, serial-counter =  1196
donut number = 1, In-ptr =  11, serial-counter =  1211
donut number = 3, In-ptr =  37, serial-counter =  1197
donut number = 2, In-ptr =  11, serial-counter =  1171
donut number = 0, In-ptr =  37, serial-counter =  1237
donut number = 1, In-ptr =  12, serial-counter =  1212
donut number = 0, In-ptr =  38, serial-counter =  1238
donut number = 0, In-ptr =  39, serial-counter =  1239
donut number = 0, In-ptr =  0, serial-counter =  1240
donut number = 2, In-ptr =  12, serial-counter =  1172
donut number = 0, In-ptr =  1, serial-counter =  1241
donut number = 2, In-ptr =  13, serial-counter =  1173
donut number = 2, In-ptr =  14, serial-counter =  1174
donut number = 3, In-ptr =  38, serial-counter =  1198
donut number = 1, In-ptr =  13, serial-counter =  1213
donut number = 0, In-ptr =  2, serial-counter =  1242
donut number = 3, In-ptr =  39, serial-counter =  1199
donut number = 2, In-ptr =  15, serial-counter =  1175
donut number = 3, In-ptr =  0, serial-counter =  1200
donut number = 3, In-ptr =  1, serial-counter =  1201
donut number = 2, In-ptr =  16, serial-counter =  1176
donut number = 0, In-ptr =  3, serial-counter =  1243
donut number = 2, In-ptr =  17, serial-counter =  1177
donut number = 1, In-ptr =  14, serial-counter =  1214
donut number = 1, In-ptr =  15, serial-counter =  1215
donut number = 1, In-ptr =  16, serial-counter =  1216
donut number = 2, In-ptr =  18, serial-counter =  1178
donut number = 0, In-ptr =  4, serial-counter =  1244
donut number = 2, In-ptr =  19, serial-counter =  1179
donut number = 2, In-ptr =  20, serial-counter =  1180
